번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보(x),좌표정보(y),문화체육업종명,문화사업자구분명,지역구분명,총층수,주변환경명,제작취급품목내용,보험기관명,건물용도명,지상층수,지하층수,객실수,건축연면적,영문상호명,영문상호주소,선박총톤수,선박척수,선박제원,무대면적,좌석수,기념품종류,회의실별동시수용인원,시설면적,놀이기구수내역,놀이시설수,방송시설유무,발전시설유무,의무실유무,안내소유무,기획여행보험시작일자,기획여행보험종료일자,자본금,보험시작일자,보험종료일자,부대시설내역,시설규모,Unnamed: 63
113,관광식당,07_24_01_P,5070000,CDFI3261042016000001,2016-12-12,,1,영업/정상,13,영업중,,,,,054-821-1056,,,경상북도 안동시 상아동 513-1번지,경상북도 안동시 석주로 203 (상아동),36611,까치구멍집,2016-12-15 13:28:50,I,2018-08-31 23:59:59,,357293.161389315,343278.639731715,관광식당업,,,,,,경북관광협회 지정 제라-13-72호,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,관광식당,07_24_01_P,4180000,CDFI3261042005000002,2005-10-12,,1,영업/정상,13,영업중,,,,,243-3001,,200-931,강원도 춘천시 근화동 710-37번지,강원도 춘천시 공지로 426  (근화동),,북경관,2010-02-11 11:50:47,I,2018-08-31 23:59:59,,263306.904606687,485915.433039654,관광식당업,관광사업,,,,,,,,,,,,,,,,,,,,147.9,,,,,,,,,,,,,148.0,
115,관광식당,07_24_01_P,4180000,CDFI3261042007000001,2007-03-09,,1,영업/정상,13,영업중,,,,,256-4282,,200-852,강원도 춘천시 동면 만천리 329-13번지,강원도 춘천시 동면 순환대로 1154-42,,라이라이,2010-02-11 11:51:06,I,2018-08-31 23:59:59,,268301.874672275,487416.146731608,관광식당업,관광사업,,,,,,,,,,,,,,,,,,,,131.03,,,,,,,,,,,,,131.0,
116,관광식당,07_24_01_P,4180000,CDFI3261042002000002,2002-12-27,,1,영업/정상,13,영업중,,,,,241-5453,,200-943,강원도 춘천시 퇴계동 1159-4번지,강원도 춘천시 우묵길74번길 14 (퇴계동),24367,쟈스민,2014-01-10 11:39:33,I,2018-08-31 23:59:59,,263677.53501856,485138.605082437,관광식당업,관광사업,,,,,,,,,,,,,,,,,,,,480.4,,,,,,,,,,,,,480.0,
117,관광식당,07_24_01_P,4180000,CDFI3261042008000002,2008-12-31,,1,영업/정상,13,영업중,,,,,255-2067,,200-200,강원도 춘천시 삼천동 37-23,강원도 춘천시 옛경춘로 807 (삼천동),24239,"춘천명물닭갈비,막국수",2022-02-25 14:12:23,U,2022-02-27 02:40:00,,262114.461441104,485474.3445608,관광식당업,관광사업,,0.0,,,,,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,,0.0,328.83,,0.0,,,,,,,3000000000.0,,,,329.0,
118,관광식당,07_24_01_P,4180000,CDFI3261042009000001,2009-12-24,,1,영업/정상,13,영업중,,,,,254-3841,,200-113,강원도 춘천시 소양로3가 180-5번지,강원도 춘천시 금강로 38 (소양로3가),200-113,회영루,2014-01-10 13:38:04,I,2018-08-31 23:59:59,,263830.109106208,486721.089820733,관광식당업,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80000000.0,,,,,
119,관광식당,07_24_01_P,4180000,CDFI3261042010000001,2010-06-01,,1,영업/정상,13,영업중,,,,,242-3010,,200-853,강원도 춘천시 동면 장학리 144-16번지,강원도 춘천시 동면 순환대로 1154-97,,산토리니,2010-06-01 10:14:03,I,2018-08-31 23:59:59,,268215.663240199,487927.403356436,관광식당업,,,,,,,,,,,,,,,,,,,,,641.52,,,,,,,,,,,,,642.0,
120,관광식당,07_24_01_P,4610000,CDFI3261041988000001,1988-09-13,,1,영업/정상,13,영업중,,,,,,,340-924,"충청남도 예산군 덕산면 신평리 163-1번지 163-3, 191-9",,,뉴가야관광호텔,2002-12-23 10:43:57,I,2018-08-31 23:59:59,,169769.96658725,354736.022599224,관광식당업,관광사업,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,관광식당,07_24_01_P,5590000,CDFI3261042010000001,2010-06-14,,1,영업/정상,13,영업중,,,,,859-1302,,482-060,경기도 양주시 덕정동 350-84번지,경기도 양주시 덕정길 4  (덕정동),11450,덕화원,2010-06-21 14:19:18,I,2018-08-31 23:59:59,,205435.277600148,482382.846278697,관광식당업,,주거지역,,주택가주변,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,관광식당,07_24_01_P,3820000,CDFI3261042017000003,2017-08-25,,1,영업/정상,13,영업중,,,,,031-853-7601,,,경기도 의정부시 금오동 474-5번지,"경기도 의정부시 청사로48번길 25, 2,3층 (금오동, 아웃백스테이크하우스금오점)",11757,아웃백스테이크하우스 금오점,2017-08-30 13:55:02,I,2018-08-31 23:59:59,,206223.002862858,472296.574082026,관광식당업,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,관광식당,07_24_01_P,5700000,CDFI3261042008000001,2008-04-07,,1,영업/정상,13,영업중,,,,,885-0101,,469-805,경기도 여주시 창동 68-201번지,,,중화요리 일품,2008-04-21 10:28:36,I,2018-08-31 23:59:59,,,,관광식당업,관광사업,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,관광식당,07_24_01_P,5700000,CDFI3261042008000002,2008-05-13,,1,영업/정상,13,영업중,,,,,880-1630,,469-803,경기도 여주시 상거동 산 15-1번지 여주프리미엄아울렛 2332호,,,(주)엑스티라이프스타일즈 여주 얌차이나,2008-05-30 08:39:31,I,2018-08-31 23:59:59,,,,관광식당업,관광사업,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,관광식당,07_24_01_P,3820000,CDFI3261042017000001,2017-05-26,,1,영업/정상,13,영업중,,,,,031-826-5550,,,경기도 의정부시 호원동 50-2,"경기도 의정부시 외미로 100, 2층 205호 (호원동, 회룡타운)",11638,메이찬,2022-12-14 10:15:13,U,2022-12-16 02:40:00,,204023.197310948,469064.939711052,관광식당업,,,0.0,,,,,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,,,,,,,0.0,,,,0.0,
126,관광식당,07_24_01_P,3820000,CDFI3261042017000002,2017-07-28,,1,영업/정상,13,영업중,,,,,,,,경기도 의정부시 호원동 119-35번지,경기도 의정부시 호암로 85-8 (호원동),11645,락궁,2017-08-02 09:58:29,I,2018-08-31 23:59:59,,204097.038195158,467316.725870666,관광식당업,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
