순위,업소명,주소,분류,현지인 검색 수
1,퍼니스카페앤라운지,광주 서구 천변좌하로 192-0,카페/찻집,15828
2,세컨드원광주수완가든점,광주 광산구 임방울대로 611-23,카페/찻집,6729
3,황솔촌수완점,광주 광산구 장신로19번안길 23-0,한식,6249
4,맥문동,광주 서구 마륵로 24-0,전문음식,6127
5,쌍교숯불갈비송정점,광주 광산구 동곡로 462-0,한식,5960
6,테이트모던,광주 서구 상무대로673번길 24-0,카페/찻집,5875
7,솔빛마루상무점 [한식],광주 서구 상무자유로 24-2,한식,5726
8,상무초밥상무점,광주 서구 운천로 253-0,외국식,5301
9,나정상회,광주 서구 상무자유로 24-0,한식,5011
10,임가네,광주 광산구 사암로130번길 65-0,한식,4956
11,궁전제과수완점,광주 광산구 사암로 426-0,간이음식,4705
12,매월농원,광주 서구 전평길 66-0,전문음식,4416
13,옥과한우촌상무점,광주 서구 내방로 39-1,한식,4409
14,황솔촌상무점,광주 서구 운천로 143-0,한식,4110
15,유향[중식],광주 광산구 용아로400번길 33-0,외국식,3833
16,초유지,광주 북구 하서로523번길 11-0,한식,3759
17,명화식육식당,광주 광산구 평동로 421-0,한식,3744
18,탱고아구찜,광주 북구 설죽로471번길 12-0,한식,3731
19,쌍교숯불갈비남구노대점,광주 남구 효덕로 128-0,한식,3658
20,창억떡집중흥본점,광주 북구 경열로 242-0,간이음식,3639
21,쟝리6-6,광주 서구 천변좌하로 436-0,카페/찻집,3582
22,마천루[중식],광주 서구 월드컵4강로 236-0,외국식,3570
23,하해가,광주 서구 내방로 37-0,전문음식,3520
24,esc2,광주 광산구 풍영정길 241-2,카페/찻집,3518
25,서울깍두기상무점,광주 서구 상무시민로 97-6,한식,3497
26,영미오리탕,광주 북구 경양로 126-0,한식,3494
27,남쪽마을돌짜장,광주 광산구 임곡로 523-7,외국식,3397
28,김연수해물나라,광주 북구 모룡대길 47-0,전문음식,3343
29,궁전제과진월점,광주 남구 서문대로 701-0,간이음식,3285
30,하울링송정점,광주 광산구 상무대로 509-1,카페/찻집,3260
31,취홍[중식],광주 광산구 월계로 223-11,외국식,3225
32,LoungeOIC,광주 광산구 임방울대로826번길 42-0,전문음식,3208
33,황솔촌운암점,광주 북구 북문대로 167-0,한식,3175
34,등촌상무점,광주 서구 마륵로 23-0,전문음식,3149
35,까르르스타광주수완점,광주 광산구 왕버들로 207-0,전문음식,3130
36,상무초밥첨단점,광주 광산구 첨단중앙로106번길 37-0,외국식,3081
37,하마아구찜수완본점,광주 광산구 수완로14번길 27-0,한식,3047
38,영미오리탕상무점,광주 서구 상무중앙로104번길 10-0,한식,3046
39,김강심칼국수,광주 서구 회재로 841-0,한식,3028
40,비바로마,광주 서구 상무누리로 20-0,외국식,3007
40,더청솔,광주 광산구 수완로 160-0,한식,3007
42,반헤이브,광주 북구 용전마을길 23-6,카페/찻집,2988
43,용전식육식당,광주 북구 용전마을길 28-0,한식,2984
44,카페304,광주 광산구 장신로 280-14,카페/찻집,2966
45,온고당,광주 서구 개산길 13-11,한식,2944
46,갤러리24,광주 서구 천변좌로 14-0,카페/찻집,2846
47,하마아구찜상무직영점,광주 서구 상무시민로 131-0,한식,2812
48,첨단공원국밥본점,광주 광산구 첨단중앙로182번길 24-3,한식,2795
49,어등뼈해장국보쌈,광주 광산구 무진대로231번길 30-21,한식,2770
50,부엌간수완점,광주 광산구 수완로106번길 37-0,전문음식,2757
51,크래버대게나라상무점,광주 서구 운천로 213-0,전문음식,2729
52,득량만횟집,광주 북구 동문대로97번길 81-0,전문음식,2724
53,꽃담,광주 광산구 첨단과기로 109-0,한식,2684
54,등촌본점,광주 남구 효우로230번길 2-0,전문음식,2637
55,명가원[한식],광주 서구 상무시민로 97-5,한식,2625
56,더바른샤브,광주 서구 상무중앙로28번길 4-0,전문음식,2616
57,명지원명가,광주 서구 운천로 237-0,한식,2613
58,차차룸,광주 북구 일곡택지로99번길 33-0,전문음식,2595
58,숙성도광주점,광주 광산구 임방울대로800번길 71-0,한식,2595
60,밀탑상무점,광주 서구 상무자유로 27-0,카페/찻집,2589
61,어반브룩,광주 남구 임암길 181-0,전문음식,2582
62,다도해물나라,광주 서구 마륵복개로 57-0,전문음식,2575
63,삼희불낙상무본점,광주 서구 상무누리로 143-0,전문음식,2572
64,해동활어,광주 서구 상무대로 653-1,전문음식,2559
65,옛날에금잔디,광주 광산구 도산로9번길 54-0,한식,2519
66,크래버대게나라수완점,광주 광산구 왕버들로 175-0,전문음식,2485
67,스퀘어,광주 광산구 하완길 103-0,카페/찻집,2454
68,신쭈꾸미본점,광주 서구 시청서편로4번길 16-0,전문음식,2443
69,미풍해장국광주상무점,광주 서구 시청로20번길 11-0,한식,2427
70,가배당,광주 서구 눌재로 434-0,카페/찻집,2410
71,진식당본점,광주 북구 중흥로 105-0,한식,2391
72,백년한우,광주 북구 연양로67번길 5-0,한식,2366
73,라라브레드양산점,광주 북구 하서로 498-0,간이음식,2299
74,대양,광주 광산구 손재로 407-0,한식,2282
75,라라브레드송정점,광주 광산구 광산로19번길 24-0,간이음식,2278
76,건강식당,광주 광산구 사암로92번길 13-0,전문음식,2242
77,25시참숯구이,광주 북구 연양로105번길 7-0,한식,2237
78,짬뽕지존전남광주점 [중식],광주 서구 서광주로 31-0,외국식,2236
79,광후장어,광주 광산구 임방울대로 503-0,전문음식,2202
80,대광식당,광주 서구 상무대로695번길 15-0,한식,2185
81,블레스롤광주상무점,광주 서구 천변좌하로 168-2,카페/찻집,2184
81,무등왕돈까스수완점,광주 광산구 수완로 88-0,전문음식,2184
83,상무초밥용봉점,광주 북구 용봉택지로 95-0,외국식,2180
84,남해가든,광주 남구 봉선로133번길 23-0,한식,2157
85,하남목장,광주 광산구 사암로216번길 10-15,한식,2150
86,유유샤브수완점,광주 광산구 수완로52번길 30-6,전문음식,2146
87,밤실마을,광주 북구 밤실로 163-9,한식,2135
88,매월농원하남점,광주 광산구 사암로 764-28,전문음식,2116
89,청수민물장어,광주 서구 마륵로 27-0,전문음식,2104
90,이바돔감자탕상무점,광주 서구 상무중앙로34번길 2-0,한식,2081
91,시골집추어탕,광주 남구 화산로 101-0,한식,2035
92,김서방국밥,광주 서구 화정로260번길 11-2,한식,2013
93,문라이즈531,광주 북구 삼소로 352-0,카페/찻집,2009
94,오스테리아12,광주 서구 상무대로673번길 19-0,전문음식,2005
95,호야분식,광주 광산구 수등로 280-0,간이음식,1994
96,벗초밥,광주 서구 풍암중앙로86번길 42-0,외국식,1980
97,행복한임금님수완점 [한식],광주 광산구 왕버들로 113-2,한식,1967
98,카페304,광주 서구 상무누리로 15-0,카페/찻집,1963
99,이산정[한식],광주 서구 원마륵1길 33-0,한식,1945
100,송원식육식당,광주 광산구 평동로800번길 13-0,한식,1941
101,여수회수산,광주 광산구 풍영로 95-0,전문음식,1939
102,홍익돈까스광주상무점,광주 서구 상무중앙로78번길 5-6,전문음식,1910
103,청석골냉면,광주 광산구 산월로3번길 46-0,한식,1905
104,도르르커피,광주 서구 화개중앙로 139-0,카페/찻집,1873
105,하누연가,광주 서구 상무대로 653-0,전문음식,1854
106,꽃담샤브,광주 북구 첨단연신로 97-0,전문음식,1843
107,나나방콕,광주 서구 상무자유로 180-0,외국식,1838
108,솔밭솥밥,광주 광산구 수완로50번길 44-3,한식,1835
109,오늘부터애간장,광주 북구 일곡마을로 121-0,전문음식,1826
110,정동,광주 광산구 수완로74번길 11-68,전문음식,1812
111,달맞이흑두부광주점,광주 광산구 북문대로 500-17,전문음식,1808
112,마루샤브수완점,광주 광산구 장신로 62-0,전문음식,1746
113,연경하남점 [중식],광주 광산구 하남산단3번로 133-8,외국식,1733
114,아우어베이커리광주첨단점,광주 광산구 임방울대로826번길 47-0,간이음식,1718
115,옥천면옥,광주 북구 무등로 144-0,한식,1712
116,돈페하남점,광주 광산구 용아로399번길 51-0,전문음식,1707
117,수진초밥,광주 북구 첨단연신로108번길 83-0,외국식,1687
118,다미정,광주 서구 풍암순환로128번길 73-0,전문음식,1683
119,해궁,광주 광산구 풍영로229번길 53-0,전문음식,1669
120,낙지한마당,광주 북구 설죽로217번길 6-3,전문음식,1664
121,클레망,광주 서구 유림로46번길 21-0,카페/찻집,1663
