순위,업소명,주소,분류,현지인 검색 수
1,덕천418,대구 수성구 유니버시아드로 66-46,카페/찻집,6979
2,바르미스시뷔페두산점,대구 수성구 무학로 78-0,외국식,6714
3,스테이블모먼트월배점,대구 달서구 조암남로32길 24-0,간이음식,6675
4,조조칼국수본점,대구 수성구 국채보상로 912-0,한식,5889
5,룰리커피,대구 수성구 고모로 188-0,카페/찻집,5865
6,서민갈비,대구 수성구 들안로 8-5,한식,5693
7,리안,대구 수성구 교학로4길 48-0,외국식,5665
8,대덕식당,대구 남구 앞산순환로 443-0,한식,5656
9,에녹커피,대구 동구 아양로 344-0,카페/찻집,5496
10,삼송1957,대구 수성구 수성못2길 26-0,간이음식,5082
11,동이식당[한식],대구 달서구 한실로6길 165-7,한식,5044
12,고령촌돼지찌개앞산본점,대구 남구 앞산순환로 440-1,한식,4723
13,취팔선진천점 [중식],대구 달서구 상화로 55-0,외국식,4713
14,유가제빵소,대구 달성군 테크노중앙대로1길 35-0,간이음식,4642
15,K2정문식당,대구 동구 아양로 341-0,한식,4373
16,레이틀리92,대구 동구 초례로 6-0,카페/찻집,4299
17,곤지곤지[한식],대구 동구 서촌로 14-0,한식,4104
18,갈비만대구본점,대구 달서구 조암로 58-0,한식,4088
19,곤지곤지침산점,대구 북구 침산남로37길 27-0,한식,4083
20,도케비커피,대구 달성군 음동길 130-15,카페/찻집,3942
21,연경반점[중식],대구 수성구 수성로 222-0,외국식,3852
22,룰리커피가창점,대구 달성군 우록길 76-0,카페/찻집,3834
23,슬로우스톤,대구 달성군 휴양림길 109-0,카페/찻집,3746
24,푸주옥,대구 수성구 청수로 110-0,한식,3743
25,마고플레인아양점,대구 동구 해동로 107-0,간이음식,3676
26,고모역쭈꾸미,대구 수성구 고모로 188-0,전문음식,3664
27,커피팀버월성점,대구 달서구 조암남로20길 41-0,카페/찻집,3501
28,원조현풍박소선할매집곰탕본점,대구 달성군 현풍중앙로 56-1,한식,3410
29,핸즈커피성북교점,대구 북구 침산로 198-0,카페/찻집,3394
30,가야성[중식],대구 달서구 월배로83길 7-0,외국식,3390
31,뜨돈진천본점,대구 달서구 진천로9길 30-0,전문음식,3383
32,라라코스트대구들안길점,대구 수성구 들안로 33-1,전문음식,3377
33,핸즈커피대구미술관점,대구 수성구 미술관로 40-0,카페/찻집,3361
34,공심옥,대구 수성구 유니버시아드로 318-0,한식,3287
35,방어진 참가자미,대구 수성구 수성못2길 35-0,전문음식,3249
36,벨베꼼메,대구 달성군 세천북로 66-0,카페/찻집,3241
37,브리니팔공,대구 동구 팔공로206길 4-0,카페/찻집,3239
38,조조칼국수월성점,대구 달서구 성서4차첨단로 120-0,한식,3235
39,바우어,대구 수성구 용학로 361-0,간이음식,3154
40,미친뷔페,대구 달서구 구마로 97-0,전문음식,3109
41,큰나무집,대구 달성군 우록길 24-0,한식,3082
42,오퐁드부아,대구 달성군 주리2길 104-0,카페/찻집,3065
43,마고플레인비스타혁신점,대구 동구 혁신대로 104-0,카페/찻집,3059
44,푸나왈라,대구 수성구 수성못2길 3-0,외국식,3040
45,마고플레인강정보점,대구 달성군 강정본길 68-18,카페/찻집,3026
46,팔공산맥,대구 북구 칠곡중앙대로 329-0,한식,3022
47,곤지곤지본점 [한식],대구 달성군 퇴계길 43-8,한식,3012
48,샤브20수성점,대구 수성구 무학로 83-0,전문음식,3007
49,미성복어본점,대구 수성구 들안로 87-0,전문음식,2993
50,신천궁전떡볶이,대구 수성구 국채보상로162길 72-0,간이음식,2961
51,오늘잡은소대구칠곡점,대구 북구 구리로 183-8,한식,2957
52,장기동먹거리촌,대구 달서구,음식점기타,2893
53,헤이마,대구 동구 파계로 583-0,카페/찻집,2888
54,베르겐에스프레소바,대구 동구 파계로138길 64-0,카페/찻집,2866
55,삼수장어신천동로점,대구 수성구 신천동로 442-0,전문음식,2853
56,동림식당,대구 동구 파계로116길 49-0,한식,2850
57,정미네,대구 달성군 헐티로2길 26-0,한식,2845
58,봉화나물밥,대구 수성구 달구벌대로568길 28-0,한식,2832
59,현풍닭칼국수본점,대구 달성군 현풍중앙로 50-0,한식,2805
60,빠다롤더테라스,대구 달서구 조암남로14길 42-0,간이음식,2799
61,제니스뷔페수성점,대구 수성구 달구벌대로 2435-0,전문음식,2771
62,농협축산물프라자하나로마트한우셀프식당,대구 북구 침산남로 88-0,한식,2722
63,아눅앞산,대구 남구 앞산순환로 459-0,카페/찻집,2710
64,아트리움,대구 수성구 국채보상로186길 151-0,전문음식,2695
65,로렐트리,대구 동구 효동로6길 122-0,외국식,2688
65,옹심이칼국수,대구 달성군 다사로 655-0,한식,2688
67,곤지곤지현풍점,대구 달성군 테크노순환로12길 24-0,한식,2680
68,홍구원수성점 [중식],대구 수성구 동대구로 167-0,외국식,2665
69,홍천뚝배기,대구 동구 공항로 130-0,한식,2648
70,남도명가[한식],대구 수성구 들안로 40-0,한식,2640
71,맨션5수성,대구 수성구 청수로 73-0,카페/찻집,2639
72,울진참가자미회수성점,대구 수성구 들안로 297-0,전문음식,2630
73,팔공노을철판구이,대구 동구 서촌로 98-1,한식,2622
74,스테이블모먼트반석점,대구 북구 복현로8길 19-36,간이음식,2616
75,용지봉[한식],대구 수성구 들안로 9-0,한식,2605
76,핸즈커피동촌유원지점,대구 동구 효동로6길 5-6,카페/찻집,2602
77,청진동해장국,대구 수성구 유니버시아드로 336-0,한식,2593
78,소소래,대구 북구 학정로 284-0,카페/찻집,2592
79,제니스뷔페달서점,대구 달서구 와룡로 143-0,전문음식,2567
80,명동돼지한마리,대구 수성구 범어천로 48-0,한식,2558
81,테라스스시뷔페,대구 달서구 와룡로 169-0,전문음식,2552
82,조조칼국수앞산본점,대구 남구 현충로15길 13-1,한식,2537
83,핸즈커피수성못점,대구 수성구 용학로 106-5,카페/찻집,2514
84,뜨삽수성본점,대구 수성구 용학로 106-7,간이음식,2508
85,윤옥연할매떡볶이본점,대구 수성구 들안로77길 11-0,간이음식,2502
86,홍익돈까스황금점,대구 수성구 동대구로 90-0,전문음식,2464
87,신짜오본점,대구 수성구 수성못6길 20-6,외국식,2442
87,샤브20이곡점,대구 달서구 달구벌대로 1254-0,전문음식,2442
89,카페아이올리,대구 수성구 달구벌대로652길 16-0,카페/찻집,2434
90,천연애,대구 달서구 앞산순환로 289-0,전문음식,2425
91,산엘아르카,대구 달성군 휴양림길 416-0,카페/찻집,2424
92,경복궁대구점 [한식],대구 수성구 용학로 134-0,한식,2410
93,수수밀소,대구 동구 매여로 320-0,카페/찻집,2401
94,망향비빔국수대구수성점,대구 수성구 무학로 89-0,한식,2391
95,가마솥에누른밥,대구 동구 서촌로23길 13-11,전문음식,2358
96,앞산주택,대구 남구 현충로1길 16-0,외국식,2352
97,핸즈커피세천점,대구 달성군 세천북로14길 8-0,카페/찻집,2347
98,미즈컨테이너레이크플레이트점,대구 수성구 수성못6길 10-0,외국식,2334
99,스테이블모먼트화원점,대구 달성군 비슬로 2614-9,카페/찻집,2331
100,이가네더덕밥,대구 북구 이곡길 35-41,한식,2328
101,홍익돈까스칠곡점,대구 북구 구리로 173-0,전문음식,2325
102,돼지만본점,대구 달서구 상화북로 192-0,한식,2304
103,들안길먹자골목,대구 수성구,음식점기타,2301
104,삿뽀로대구점,대구 수성구 용학로 134-0,외국식,2286
105,우즈베이커리대곡점,대구 달서구 갈밭로 76-0,간이음식,2276
106,피카커피진천점,대구 달서구 진천로 38-0,카페/찻집,2266
107,온기정[일식],대구 수성구 수성못6길 9-0,외국식,2246
108,싱싱뽈락회,대구 수성구 수성못2길 17-0,전문음식,2244
109,핸즈커피호산점,대구 달서구 호산동로 148-0,카페/찻집,2240
110,티아이티에프,대구 동구 팔공산로 1169-0,카페/찻집,2236
111,만솥[중식],대구 수성구 동대구로 237-0,외국식,2228
112,꽃피는화덕피자D485대구수성못점,대구 수성구 용학로 111-0,간이음식,2225
113,이향식당,대구 수성구 월드컵로5안길 17-3,한식,2199
114,우즈베이커리카페수성호수점,대구 수성구 수성못6길 3-0,카페/찻집,2197
115,까꾸리손칼국수,대구 수성구 월드컵로5길 17-0,한식,2190
116,미남장어수성점,대구 수성구 들안로 56-0,전문음식,2189
117,커피명가구지점,대구 달성군 내리길 19-5,카페/찻집,2159
118,슬로우라이프,대구 수성구 동대구로77길 33-6,카페/찻집,2135
