순위,업소명,주소,분류,현지인 검색 수
1,성심당DCC점,대전 유성구 엑스포로 107-0,간이음식,29371
2,태평소국밥본관,대전 유성구 온천동로65번길 50-0,한식,16521
3,성심당본관,대전 중구 대종로480번길 15-0,간이음식,14808
4,베스타프리미엄뷔페,대전 서구 만년로 70-0,전문음식,10130
5,에이트,대전 유성구 한밭대로 458-0,카페/찻집,8518
6,수통골감나무집본점,대전 유성구 수통골로 69-0,전문음식,8052
7,복사꽃피는집대전점,대전 유성구 원계산로 238-34,한식,6626
8,카페팡시온,대전 동구 회남로275번길 227-0,카페/찻집,6049
9,일당감자탕유성1호점,대전 유성구 계룡로59번길 36-0,한식,5700
10,온천손칼국수,대전 유성구 온천북로59번길 2-0,한식,5559
11,비씨씨킹덤,대전 서구 문정로 40-0,전문음식,4965
12,권인순갈비김치찌개,대전 유성구 노은서로76번길 75-5,한식,4904
13,원조태평소국밥태평본점,대전 중구 태평로 116-0,한식,4851
14,보물섬회수산,대전 유성구 계룡로 15-3,전문음식,4778
15,오문창순대국밥,대전 대덕구 한밭대로 1153-0,한식,4721
16,천리집,대전 유성구 신성남로 127-0,한식,4614
17,상무초밥유성점,대전 유성구 대학로 44-0,외국식,4419
18,신촌설렁탕만년점,대전 서구 대덕대로 390-0,한식,4411
19,월산본가,대전 중구 대종로 455-0,한식,4386
20,유생촌대전유성점,대전 유성구 엑스포로 240-0,전문음식,4379
21,성심당롯데백화점대전점,대전 서구 계룡로 598-0,간이음식,4310
22,대선칼국수,대전 서구 둔산중로40번길 28-0,한식,4249
23,상무초밥둔산직영점,대전 서구 둔산로31번길 66-0,외국식,4128
24,꾸드뱅,대전 유성구 지족동로 146-0,간이음식,3976
25,커피인터뷰,대전 유성구 한밭대로371번길 25-3,카페/찻집,3884
26,숯골원냉면본점,대전 유성구 신성로84번길 18-0,한식,3878
27,더함뜰,대전 유성구 동서대로 181-0,한식,3857
28,연선흠베이커리,대전 유성구 지족로148번길 39-23,간이음식,3796
29,오씨칼국수도룡점,대전 유성구 엑스포로151번길 19-0,한식,3739
30,바르미샤브샤브앤칼국수유성봉명점,대전 유성구 대학로 39-10,한식,3555
31,오씨칼국수,대전 동구 옛신탄진로 13-0,한식,3523
32,태화장[중식],대전 동구 중앙로203번길 78-0,외국식,3417
33,착한낙지대전유성점,대전 유성구 유성대로654번길 22-0,전문음식,3324
34,창억떡집대전본점,대전 유성구 유성대로 775-0,간이음식,3263
35,영동뜨끈이,대전 중구 대전천서로 375-1,한식,3231
36,리엔차이,대전 유성구 은구비로155번길 34-0,외국식,3188
37,더리스.테라베오,대전 동구 냉천로 30-0,전문음식,3147
37,바다수산,대전 서구 계룡로 338-0,전문음식,3147
39,바질리코레스토랑,대전 유성구 한밭대로313번길 10-0,전문음식,3078
40,솔밭묵집,대전 유성구 관용로 51-0,한식,3073
41,하레하레도안점,대전 서구 원도안로26번길 13-0,간이음식,3061
42,농민순대,대전 중구 충무로 138-0,한식,3058
43,한우김삿갓,대전 유성구 유성대로1184번길 11-27,한식,3035
44,공주떡집대전본점,대전 서구 용문로 89-0,간이음식,3010
45,오시오칼국수,대전 유성구 노은로410번길 8-0,한식,2953
46,어거스트홍미당,대전 유성구 하기로 34-21,간이음식,2914
46,청송한우타운,대전 유성구 노은동로79번길 71-0,한식,2914
48,오브떼르,대전 유성구 월드컵대로351번길 5-0,카페/찻집,2815
49,옥수숯불구이,대전 서구 변동중로 49-0,한식,2796
50,둥지톳밥,대전 유성구 현충원로347번길 37-10,한식,2791
51,델빠네,대전 서구 원도안로207번길 16-61,카페/찻집,2766
52,짬뽕지존대전둔산점 [중식],대전 서구 둔산서로 13-0,외국식,2755
53,대손관,대전 유성구 문화원로146번길 17-0,전문음식,2740
54,몽뜨,대전 서구 원도안로257번길 48-0,카페/찻집,2705
55,서원골유황오리,대전 유성구 엑스포로269번길 8-0,전문음식,2684
56,강남면옥,대전 서구 둔산로123번길 15-0,한식,2668
57,오한순 손수제비,대전 유성구 죽동로279번길 89-0,간이음식,2637
58,반찬식당,대전 중구 보문산공원로 484-0,한식,2599
59,드르쿰다from제주,대전 서구 계룡로314번길 8-0,카페/찻집,2534
59,유성불백,대전 유성구 죽동로242번길 8-16,한식,2534
61,백마강참숯민물장어유성점,대전 유성구 도안대로567번길 3-0,전문음식,2518
62,여자만장어구이,대전 서구 만년로68번길 38-0,전문음식,2514
63,사리원본점,대전 서구 둔산로31번길 77-0,한식,2497
64,현암기사식당,대전 동구 대전천북로 72-0,한식,2488
65,후루룩손칼국수,대전 유성구 반석로11번길 66-11,한식,2485
66,정치망,대전 서구 도안대로 47-0,전문음식,2483
66,랑만[중식],대전 서구 원도안로179번길 22-28,외국식,2483
68,달빛에구운고등어대전도마점,대전 서구 도림2길 11-0,한식,2458
69,한우곰탕,대전 유성구 전민로22번길 30-0,한식,2451
70,구들마루유성봉명점,대전 유성구 온천동로65번길 35-0,한식,2449
71,원조태평소국밥유성점,대전 유성구 문화원로 140-0,한식,2448
72,추어명가본점,대전 유성구 현충원로347번길 45-6,한식,2434
73,플레이스플로라,대전 동구 회남로 57-54,카페/찻집,2411
74,이비가짬뽕본점 [중식],대전 유성구 문화원로 39-0,외국식,2366
75,에그드랍관저점,대전 서구 관저로 157-0,간이음식,2364
76,공주칼국수,대전 서구 용문로 32-0,한식,2299
77,쌍촌본가,대전 유성구 엑스포로 244-5,한식,2291
78,시민칼국수,대전 중구 대흥로10번길 5-0,한식,2288
79,르뺑99-1,대전 유성구 온천북로33번길 22-3,간이음식,2239
80,도레미아구찜,대전 유성구 문화원로14번길 36-0,한식,2235
81,팔복집,대전 유성구 가정로89번길 12-0,한식,2223
82,연타발대전유성점,대전 유성구 계룡로87번길 16-0,전문음식,2221
83,워낭명가,대전 유성구 계룡로105번길 10-0,한식,2210
84,설악칡냉면,대전 서구 둔산대로117번길 56-0,한식,2208
85,선화동소머리해장국본점,대전 중구 선화로 128-0,한식,2203
86,수피아,대전 유성구 갑동로15번길 53-0,카페/찻집,2183
87,늘상상[중식],대전 유성구 봉명서로 21-1,외국식,2164
88,동죽이네,대전 유성구 수통골로71번길 28-0,한식,2150
89,진주냉면이설옥,대전 서구 가장로 77-0,한식,2120
90,천년의정원[중식],대전 서구 만년로67번길 18-13,외국식,2110
91,도덕봉가든,대전 유성구 동서대로189번길 13-0,전문음식,2105
92,띠울석갈비유성점,대전 유성구 계룡로141번길 1-0,한식,2100
93,띠울석갈비테크노점,대전 유성구 테크노5로 72-0,한식,2084
94,공간태리,대전 유성구 수통골로 9-0,카페/찻집,2075
95,갑동숯불민물장어,대전 유성구 갑동로 14-0,전문음식,2053
96,소소림,대전 유성구 동서대로 184-45,카페/찻집,2051
97,유성본가누룽지삼계탕,대전 유성구 유성대로 645-0,한식,2046
98,순남시래기대전신성점,대전 유성구 유성대로1184번길 11-19,한식,2042
99,대청장어가대전점,대전 유성구 금남구즉로 1421-0,전문음식,2020
100,착한낙지홍도점,대전 동구 동서대로 1609-2,전문음식,2007
101,케이인하우스[한식],대전 유성구 봉명로 27-27,한식,1990
102,오도르,대전 서구 도안동로 144-34,카페/찻집,1988
103,드로이,대전 서구 용소로60번길 54-0,전문음식,1971
104,소나무풍경,대전 서구 괴정로116번길 42-0,한식,1966
105,설천순대국밥,대전 유성구 온천북로33번길 13-0,한식,1965
106,피제리아614죽동점,대전 유성구 은구비로 145-0,간이음식,1954
107,두두당,대전 대덕구 대청로 234-0,카페/찻집,1928
108,꽃마름노은점,대전 유성구 북유성대로 170-0,전문음식,1911
109,겐로쿠우동노은점,대전 유성구 반석동로40번길 92-1,외국식,1910
110,천복순대국밥궁동점,대전 유성구 문화원로 57-0,한식,1908
111,크리스피크림도넛대전둔산점,대전 서구 둔산중로 46-0,간이음식,1893
112,김판순 김치찌개,대전 유성구 유성대로1184번길 5-12,한식,1888
113,자작나무,대전 유성구 갑동로25번길 136-0,카페/찻집,1882
114,오한순손수제비,대전 서구 신갈마로230번길 36-0,한식,1881
