순위,업소명,주소,분류,현지인 검색 수
1,칠암사계,부산 기장군 칠암1길 7-10,카페/찻집,16404
2,식당3선센텀1관,부산 해운대구 해운대로 230-0,한식,10040
3,해운대암소갈비집,부산 해운대구 중동2로10번길 32-10,한식,9105
4,토북베이커리강서점,부산 강서구 낙동남로 526-1,간이음식,8702
5,금수복국해운대본점,부산 해운대구 중동1로43번길 23-0,전문음식,8486
6,대게만찬,부산 기장군 기장해안로 266-0,전문음식,7453
7,웨이브온커피,부산 기장군 해맞이로 286-0,카페/찻집,7259
8,냉수탕가든,부산 부산진구 가야공원로 107-0,전문음식,6711
9,더파티센텀점,부산 해운대구 센텀중앙로 79-0,전문음식,6671
10,영진돼지국밥본점,부산 사하구 하신번영로157번길 39-0,한식,5877
11,그랜드애플,부산 해운대구 센텀1로 25-0,전문음식,5622
12,합천일류돼지국밥사상점,부산 사상구 광장로 34-0,한식,5611
13,비아조,부산 강서구 식만로 164-0,카페/찻집,5348
14,수변최고돼지국밥민락본점,부산 수영구 광안해변로370번길 9-32,한식,5308
15,외식일번가부산본점,부산 부산진구 신천대로 222-0,한식,5237
16,피아크카페앤베이커리,부산 영도구 해양로195번길 180-0,카페/찻집,4876
17,미식일상,부산 기장군 동부산관광로 34-0,외국식,4667
18,바릇식당,부산 기장군 문오성길 61-0,전문음식,4568
19,록산,부산 강서구 화전산업대로 272-43,카페/찻집,4396
20,해운대가야밀면,부산 해운대구 좌동순환로 27-0,한식,4366
21,해목[일식],부산 해운대구 구남로24번길 8-0,외국식,4286
22,풍원장시골밥상집[한식],부산 기장군 기장해안로 250-0,한식,4285
23,영진돼지국밥,부산 강서구 명지오션시티8로 31-0,한식,4114
24,풍원장꼬막정찬마린시티점,부산 해운대구 마린시티2로 38-0,한식,4090
25,얼크니손칼국수기장점,부산 기장군 차성로417번길 22-0,한식,3986
26,기와집대구탕,부산 해운대구 달맞이길104번길 46-0,한식,3952
27,타이빈,부산 동래구 금강로73번길 12-0,외국식,3886
28,헤이든,부산 기장군 문오성길 22-0,카페/찻집,3781
29,할매재첩국,부산 사상구 낙동대로1530번길 20-15,한식,3728
30,최뼈다구해장국2호점,부산 사상구 광장로 22-0,한식,3699
31,선유도원,부산 금정구 상현로 64-0,카페/찻집,3694
32,더도이종가집돼지국밥덕천본점,부산 북구 의성로 91-0,한식,3665
33,박해윤통영해물밥상,부산 동래구 연안로 38-0,전문음식,3591
34,더스타뷔페,부산 부산진구 중앙대로666번길 50-0,전문음식,3577
35,양산왕돼지국밥,부산 해운대구 재반로 70-0,한식,3483
36,풍원장미역국정찬마린시티점,부산 해운대구 마린시티3로 51-0,한식,3481
37,오르디,부산 사상구 대동로107번길 17-0,카페/찻집,3451
38,구디너프,부산 강서구 가덕해안로1169번길 28-0,카페/찻집,3448
39,호포갈비문현점,부산 남구 우암로 359-0,한식,3432
40,카페진목,부산 강서구 명지새동네길2번길 56-3,카페/찻집,3299
41,오발탄부산해운대점,부산 해운대구 해운대로570번길 10-0,전문음식,3285
42,고향연화,부산 기장군 연화길 33-8,전문음식,3279
43,하녹,부산 기장군 내리길 146-5,카페/찻집,3269
44,동래삼계탕,부산 동래구 동래로116번길 39-0,한식,3261
45,월남면반,부산 강서구 명지국제6로302번길 19-3,외국식,3236
46,다솥맛집,부산 해운대구 송정광어골로 29-0,한식,3234
47,어밤부,부산 해운대구 송정광어골로 87-0,외국식,3218
48,외식1번가덕천점,부산 북구 의성로 88-0,한식,3212
49,제주은희네해장국부산본점,부산 해운대구 대천로42번길 8-0,한식,3187
50,제이엠커피로스터스부산본점,부산 기장군 대변3길 8-0,카페/찻집,3185
50,두루미베이커리카페,부산 기장군 곰내길 654-77,카페/찻집,3185
52,외식1번가연제점,부산 연제구 월드컵대로 201-0,한식,3169
53,외식1번가해운대점,부산 해운대구 해운대로 425-0,한식,3096
54,목장원,부산 영도구 절영로 355-0,한식,3071
55,공원칼국수,부산 남구 유엔평화로 110-0,한식,3024
56,거대곰탕,부산 해운대구 해운대해변로 163-0,한식,3017
57,스시미르네본점,부산 해운대구 세실로 75-0,외국식,3011
58,더파티해운대프리미엄점,부산 해운대구 해운대해변로298번길 24-0,전문음식,2990
59,코랄라니,부산 기장군 기장해안로 32-0,카페/찻집,2980
60,오리한상,부산 강서구 명지국제9로 66-0,전문음식,2960
61,소문난주문진막국수,부산 동래구 사직로58번길 8-0,한식,2959
62,거대갈비본관,부산 해운대구 달맞이길 22-0,한식,2924
63,이프리오,부산 강서구 범방4로 32-0,카페/찻집,2920
64,명지첫집국제신도시점,부산 강서구 명지국제6로232번길 18-0,전문음식,2907
65,보몽드,부산 기장군 구기길 19-7,카페/찻집,2905
66,신호활어회센터,부산 강서구 신호산단1로 60-0,전문음식,2902
67,수민이네,부산 해운대구 청사포로58번길 118-0,전문음식,2897
68,테라비본점,부산 강서구 명지국제8로10번길 16-0,전문음식,2828
69,테라로사수영점,부산 수영구 구락로123번길 20-0,카페/찻집,2824
70,더파티서면점,부산 부산진구 신천대로 252-0,전문음식,2814
71,배비장보쌈해운대점,부산 해운대구 해운대로483번길 1-1,전문음식,2780
72,샤브20부산명지점,부산 강서구 명지국제8로 19-0,전문음식,2773
73,거대갈비신관,부산 해운대구 좌동순환로 459-0,한식,2771
74,양산국밥해운대본점,부산 해운대구 좌동로10번길 75-0,한식,2714
75,카페오플로우,부산 강서구 가락대로 1206-0,카페/찻집,2712
76,개미집신도시점,부산 해운대구 좌동로10번길 51-5,전문음식,2704
76,호랑이젤라떡,부산 해운대구 달맞이길62번길 38-0,카페/찻집,2704
78,식당3선덕천점,부산 북구 금곡대로 112-0,한식,2672
79,303화덕동래점,부산 동래구 차밭골로 37-0,외국식,2653
80,세연정동래점,부산 동래구 충렬대로 149-0,한식,2650
