순위,업소명,주소,분류,현지인 검색 수
1,새벽집청담동점,서울 강남구 도산대로101길 6-0,한식,17124
2,압구정공주떡,서울 강남구 논현로161길 10-0,간이음식,15428
3,삼원가든본점,서울 강남구 언주로 835-0,한식,13661
4,강강술래상계점,서울 노원구 동일로 1628-0,한식,13154
5,신당동떡볶이타운,서울 중구,음식점기타,12982
6,영천영화청담점,서울 강남구 도산대로90길 3-0,한식,12182
7,소문난성수감자탕본관,서울 성동구 연무장길 45-0,한식,11101
8,청와옥올림픽공원점,서울 송파구 위례성대로 48-0,한식,10723
9,또순이네,서울 영등포구 선유로47길 16-0,한식,10103
10,키누카누,서울 강서구 공항대로 247-0,외국식,10069
11,강강술래역삼점 [한식],서울 강남구 논현로 325-0,한식,9994
12,중앙해장,서울 강남구 영동대로86길 17-0,한식,9719
13,스윗솔트,서울 강동구 상암로 286-0,전문음식,8962
14,함경도찹쌀순대,서울 송파구 송파대로28길 32-0,한식,8932
15,스케줄청담,서울 강남구 선릉로152길 37-0,전문음식,8564
16,영동설렁탕,서울 서초구 강남대로101안길 24-0,한식,8516
17,진미평양냉면,서울 강남구 학동로 305-3,한식,8513
18,더메이드뷔페,서울 강서구 마곡중앙6로 21-0,전문음식,8420
19,런던베이글뮤지엄도산점,서울 강남구 언주로168길 33-0,간이음식,7849
20,김영모과자점도곡타워점,서울 강남구 언주로30길 10-0,간이음식,7728
21,임병주산동손칼국수,서울 서초구 강남대로37길 65-0,한식,7620
22,봉피양방이점,서울 송파구 양재대로71길 1-4,한식,7473
23,홍능갈비집본점,서울 동대문구 제기로 85-0,한식,7469
24,장꼬방김치찌개전문,서울 서초구 효령로 364-0,한식,7294
25,보메청담,서울 강남구 선릉로152길 40-0,전문음식,7204
26,포레스트청담,서울 강남구 선릉로 803-0,전문음식,7024
27,한우리본점,서울 강남구 도산대로 304-0,한식,6976
28,몽중헌대치점,서울 강남구 영동대로 325-0,외국식,6906
29,유림강서점,서울 강서구 공항대로71길 5-0,전문음식,6881
30,RSG성수,서울 성동구 연무장15길 11-0,카페/찻집,6725
31,몽중헌청담점 [중식],서울 강남구 도산대로 445-0,외국식,6522
32,포브라더스도곡점,서울 강남구 논현로28길 40-0,외국식,6517
33,강강술래신림점,서울 관악구 남부순환로 1660-0,한식,6321
34,청와옥석촌호수점,서울 송파구 삼학사로 96-0,한식,6282
