순위,업소명,주소,분류,현지인 검색 수
1,만파식적삼산점,울산 남구 남중로 91-0,한식,4699
2,달동쭈꾸미,울산 남구 삼산로 141-0,전문음식,3599
3,홍익돈까스울산직영점,울산 남구 돋질로 419-0,전문음식,3497
4,외식명가삼산정,울산 남구 화합로 154-0,한식,3223
5,블랙업커피옥동점,울산 남구 법대로14번길 21-0,카페/찻집,3200
6,한우클라쓰,울산 남구 정동로86번길 18-0,한식,3192
7,녹돈당울산점,울산 남구 꽃대나리로 23-0,한식,3138
8,미진돌곱창,울산 남구 남산로26번길 3-0,전문음식,3044
9,부조화숲,울산 남구 남부순환도로627번길 7-0,전문음식,2878
10,완도참전복,울산 남구 남중로94번길 13-0,전문음식,2866
11,제1능이버섯,울산 남구 남중로108번길 33-0,한식,2676
12,울산언양불고기,울산 남구 월평로 205-0,한식,2630
13,함양집본점,울산 남구 중앙로208번길 12-0,한식,2600
14,차일품한정식[한식],울산 남구 삼산로352번길 14-0,한식,2551
15,금강산삼계탕,울산 남구 번영로150번길 27-0,한식,2520
16,써니사이드업,울산 남구 문수로217번길 12-0,전문음식,2433
17,사량도자연산횟집2호점,울산 남구 돋질로422번길 10-0,전문음식,2291
18,와사비,울산 남구 정동로 117-0,외국식,2257
19,소대장,울산 남구 문수로352번길 16-0,한식,2217
20,문가전통콩나물교실울산본점,울산 남구 꽃대나리로 59-0,한식,2064
21,행루즈버거,울산 남구 월평로187번길 14-0,간이음식,1995
22,촌놈밥집삼산점,울산 남구 정동로20번길 15-0,한식,1972
23,고반식당삼산점,울산 남구 달삼로 41-0,한식,1966
24,정칼국수,울산 남구 왕생로62번길 11-0,한식,1801
25,누마루,울산 남구 대학로169번길 2-0,전문음식,1764
26,삼태육경회타운,울산 남구 남중로 104-0,전문음식,1757
27,이어도,울산 남구 달삼로76번길 5-0,전문음식,1707
28,압구정한우국밥,울산 남구 달삼로 66-0,한식,1688
29,육향,울산 남구 삼산중로 24-1,한식,1687
30,싱귤러커피울산본점,울산 남구 대학로1번길 3-35,카페/찻집,1685
31,보성녹돈참숯구이,울산 남구 대학로 28-0,한식,1638
32,돋질로[한식],울산 남구 문수로327번길 14-0,한식,1616
33,김미강식당,울산 남구 번영로84번길 5-0,한식,1616
34,두왕골,울산 남구 남부순환도로 624-0,전문음식,1544
35,선농설렁탕,울산 남구 왕생로 78-0,한식,1537
36,종가돼지국밥,울산 남구 중앙로223번길 1-0,한식,1530
37,그리다빵울산삼산점,울산 남구 왕생로 64-0,간이음식,1527
38,헤이다이닝,울산 남구 돋질로312번길 7-0,전문음식,1523
39,대복축산삼산지점,울산 남구 화합로 186-1,한식,1519
40,조마루감자탕달동점,울산 남구 번영로 122-0,한식,1519
41,돌부대찌개달동본점,울산 남구 돋질로220번길 13-0,전문음식,1510
42,대가가든,울산 남구 남부순환도로293번길 36-0,전문음식,1509
43,꽃다지,울산 남구 남부순환도로 557-0,전문음식,1504
44,오발탄울산점,울산 남구 삼산중로100번길 28-0,전문음식,1486
