순위,업소명,주소,분류,현지인 검색 수
1,포레스트아웃팅스송도점,인천 연수구 청량로 145-0,카페/찻집,25863
2,공단떡볶이,인천 남동구 남동서로 226-0,간이음식,14663
3,벌말매운탕본점,인천 계양구 벌말로565번길 5-0,한식,14474
4,동춘사골순대국동춘점,인천 연수구 동곡재로49번길 8-0,한식,12657
5,장수가든,인천 남동구 수현로14번길 13-7,한식,12632
6,조양방직,인천 강화군 향나무길5번길 12-0,카페/찻집,12455
7,오목골즉석메밀우동,인천 미추홀구 석정로 142-0,외국식,12244
8,송도갈비본점,인천 연수구 능허대로 16-0,한식,12056
9,송도갈매기본점,인천 연수구 능허대로151번길 25-0,한식,12031
10,가좌동진천토종순대청라점,인천 서구 담지로104번길 17-1,한식,11850
11,브런치빈송도점,인천 연수구 해돋이로151번길 4-0,전문음식,11452
12,경복궁삼계탕송도점,인천 연수구 센트럴로 263-0,한식,10948
13,이학갈비연수점,인천 연수구 먼우금로 208-0,한식,10116
14,우판등심인천점,인천 연수구 청량로 61-0,한식,10003
15,안스베이커리송도점,인천 연수구 센트럴로 160-0,간이음식,9245
16,바다쏭,인천 연수구 능허대로 16-0,카페/찻집,8940
17,구수옥설렁탕,인천 서구 중봉대로586번길 9-23,한식,8826
18,동해막국수,인천 중구 용유서로479번길 16-0,한식,7937
19,바베큐광장,인천 부평구 경원대로 1439-0,전문음식,7904
20,드마리스청라점,인천 서구 청라커낼로260번길 15-0,전문음식,7704
21,청해김밥본점,인천 미추홀구 경인로 414-0,간이음식,7569
22,서원안길,인천 서구 원당대로608번안길 14-0,카페/찻집,7443
23,260도송도유원지점,인천 연수구 청량로109번길 1-0,한식,7345
24,송도주막,인천 연수구 청량로79번길 36-0,한식,7262
25,카페꼼마송도점,인천 연수구 센트럴로 263-0,카페/찻집,7221
26,백제원[한식],인천 연수구 해돋이로 157-0,한식,7207
27,해송쌈밥,인천 중구 공항서로 177-0,한식,7160
28,수림공원가든,인천 남동구 주안로 269-0,한식,7159
29,경복궁한옥마을점,인천 연수구 테크노파크로 180-0,한식,7035
30,차이나타운,인천 중구 차이나타운로44번길 13-2,음식점기타,6984
31,더노벰버라운지청라점,인천 서구 청라한내로72번길 7-25,카페/찻집,6975
32,메이드림,인천 중구 용유서로479번길 42-0,카페/찻집,6829
33,홍익돈까스청라점,인천 서구 담지로104번길 26-1,전문음식,6505
34,개성손만두요리전문점청라직영점,인천 서구 청라라임로122번길 3-1,한식,6373
35,경복궁삼계탕청라점,인천 서구 청라라임로122번길 3-3,한식,6331
36,브런치빈,인천 서구 청라라임로 57-0,전문음식,6289
37,이학갈비계산본점,인천 계양구 계산새로 1-0,한식,6019
38,선식당,인천 서구 보석로11번길 13-0,음식점기타,6018
39,토모루,인천 서구 청라라임로106번길 15-0,간이음식,6012
40,개성손만두송도점,인천 연수구 인천타워대로 99-0,한식,5909
41,숙성도인천송도점,인천 연수구 능허대로 275-0,한식,5896
42,명장시대인천점,인천 계양구 역골로43번길 50-0,카페/찻집,5738
43,동양염전베이커리카페,인천 중구 용유서로 32-0,카페/찻집,5565
44,마시안제빵소,인천 중구 마시란로 155-0,간이음식,5561
45,무지락설렁탕,인천 남동구 논현고잔로 166-0,한식,5345
46,써니네집,인천 서구 크리스탈로 84-0,외국식,5339
47,이대조감자탕본점,인천 미추홀구 토금중로 6-0,한식,5315
48,자미궁제빵소,인천 서구 원당대로819번길 38-0,간이음식,5209
49,기노스코,인천 연수구 아트센터대로 203-0,카페/찻집,5177
50,선녀풍본점,인천 중구 용유서로 272-0,전문음식,5173
51,이당비스트로,인천 남동구 배려터로 9-0,전문음식,5093
52,밥상편지[한식],인천 연수구 하모니로 124-0,한식,5082
53,천지연송도국제신도시점,인천 연수구 첨단대로 80-0,한식,5015
54,괭이부리마을청라점,인천 서구 청라에메랄드로 99-0,한식,4858
55,쎄쎄쎄,인천 연수구 컨벤시아대로 165-0,전문음식,4816
56,진시황감자탕,인천 연수구 청능대로113번길 37-0,한식,4781
57,레이중화요리[중식],인천 서구 청라루비로42번길 5-21,외국식,4755
58,숭의가든,인천 미추홀구 경인로88번길 10-0,한식,4724
59,엠클리프,인천 중구 마시란로 51-30,카페/찻집,4683
60,청라어보,인천 서구 중봉대로586번길 9-23,한식,4665
61,건강밥상심마니송도점,인천 연수구 해돋이로 161-0,한식,4647
62,훈장골서창점,인천 남동구 서창남순환로215번길 17-0,한식,4601
63,영종제빵소,인천 중구 해맞이길 7-0,간이음식,4576
64,복사꽃피는집인천점,인천 남동구 호구포로 595-24,한식,4542
65,파티파라나,인천 연수구 센트럴로 194-0,전문음식,4540
66,안스베이커리구월본점,인천 남동구 인주대로 664-0,간이음식,4492
67,강민주의들밥송도점 [한식],인천 연수구 인천타워대로 257-0,한식,4487
68,벌말기사부페본점 [한식],인천 계양구 벌말로573번길 3-1,한식,4475
69,한상민과자점검단신도시점,인천 서구 이음대로 378-0,간이음식,4472
70,홍익돈까스송도점,인천 연수구 인천타워대로 99-0,전문음식,4448
71,뻘다방,인천 옹진군 선재로 55-0,카페/찻집,4379
72,만수채영종도하늘도시점,인천 중구 하늘중앙로225번길 3-0,전문음식,4377
73,딤타오청라점,인천 서구 청라한내로72번길 7-25,외국식,4367
74,성진아구,인천 연수구 청량로109번길 71-0,한식,4329
75,늘솜당,인천 남동구 논고개로 213-2,간이음식,4314
76,쉐이크쉑송도점,인천 연수구 송도과학로16번길 33-2,간이음식,4311
77,황해해물칼국수1호점,인천 중구 마시란로 24-0,한식,4305
78,권오길손국수본점,인천 서구 검단로 789-0,한식,4279
79,송도갈매기논현점,인천 남동구 논현로26번길 40-15,한식,4268
80,해미루청라본점,인천 서구 청라에메랄드로41번길 11-0,한식,4260
81,유진참치,인천 계양구 아나지로 466-0,전문음식,4259
82,송도궁중삼계탕,인천 연수구 청량로 84-0,한식,4244
83,마시랑카페,인천 중구 마시란로 163-0,카페/찻집,4195
84,고복샤브샤브청라점,인천 서구 청라루비로42번길 6-4,전문음식,4157
85,단풍나무,인천 서구 검단로379번길 31-2,한식,4151
86,송도우리갈비,인천 연수구 능허대로 208-0,한식,4110
87,모녀떡볶이부평남부역점,인천 부평구 광장로 16-0,간이음식,4010
88,산이내린밥상곤드레밥집서구점 [한식],인천 서구 서곶로 253-0,한식,4005
89,천지연송도유원지점,인천 연수구 청량로 108-0,한식,3986
90,스타파이브카페,인천 중구 공항서로 133-1,카페/찻집,3953
91,석남동함흥냉면,인천 서구 석남로 87-0,한식,3945
92,훈장골논현점,인천 남동구 논현로 16-0,한식,3933
93,어부의밥상청라점,인천 서구 보석로12번안길 20-0,한식,3922
94,송쭈집본점,인천 연수구 컨벤시아대로 126-0,전문음식,3865
95,송추가마골인천구월점,인천 남동구 인주대로 544-0,한식,3863
96,곰설채설렁탕,인천 남동구 인주대로 625-0,한식,3847
97,백합칼국수송도점,인천 연수구 아암대로 811-0,한식,3843
98,샹끄발레르,인천 연수구 컨벤시아대로130번길 14-0,간이음식,3832
99,지금이곳,인천 중구 운남로82번길 40-0,카페/찻집,3828
100,제주은희네해장국인천송도점,인천 연수구 아트센터대로 87-0,한식,3763
101,바다앞테라스,인천 중구 은하수로 10-0,간이음식,3762
102,송도콩나물해장국밥,인천 연수구 청량로113번길 15-0,한식,3732
103,안스베이커리연수점,인천 연수구 청명로3번길 1-0,간이음식,3715
104,유천가든,인천 서구 아라로51번길 6-1,전문음식,3696
105,송돗골,인천 연수구 앵고개로103번길 15-0,전문음식,3691
106,육대장본점,인천 남동구 비류대로 783-0,한식,3682
107,마루샤브송도점,인천 연수구 인천타워대로 99-0,전문음식,3673
108,상무초밥송도직영점,인천 연수구 신송로 122-0,외국식,3671
109,건강밥상심마니청라점,인천 서구 청라커낼로288번길 10-0,한식,3652
110,넙디빈대떡,인천 중구 운서1로4번길 26-0,한식,3567
111,곤드레밥집[한식],인천 연수구 청량로 89-0,한식,3532
112,더존더파티스타청라점,인천 서구 중봉대로 594-0,전문음식,3514
113,속초코다리냉면송도1호점,인천 연수구 아트센터대로 87-0,한식,3510
114,막 퍼주는 시골집밥,인천 연수구 벚꽃로 130-3,한식,3509
115,경복궁구월점 [한식],인천 남동구 인주대로 593-0,한식,3508
116,더노벰버라운지인천구월동점,인천 남동구 인주대로 548-0,카페/찻집,3484
117,별미지교인천서구점,인천 서구 백범로 872-0,전문음식,3464
118,빵카페인천부평점,인천 부평구 마장로 461-1,간이음식,3463
119,경복궁송도점,인천 연수구 청량로 120-0,한식,3454
120,영월애곤드레인천본점 [한식],인천 남동구 매소홀로 864-0,한식,3444
121,더노벰버라운지2호점,인천 연수구 청량로97번길 47-0,카페/찻집,3439
122,긴자송도유원지점 [일식],인천 연수구 청량로120번길 10-0,외국식,3416
123,을왕리꾸덕집,인천 중구 용유서로174번길 44-0,한식,3388
124,옹기꽃게장,인천 남동구 도림북로16번길 31-0,전문음식,3382
125,망향비빔국수청라점,인천 서구 담지로104번길 29-0,한식,3362
